,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,beta,alpha,alpha_decay,lr_decay,alpha_limit,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,6,452,1e-05,1032,256,0.01,0.9621286508944418,0.998,0.95,0.2,10,200,selu,129.07794380187988,3.997635772634567e-06
0,1,8,239,0.001,1032,256,0.0001,0.9866287549091896,0.998,0.95,0.2,10,200,selu,5.76176580786705,4.462788570983034e-09
0,2,5,182,0.0001,1032,256,0.01,0.9660040072338968,0.998,0.95,0.2,10,200,selu,5.807757578790188,1.5479099957360631e-06
0,3,8,118,1e-05,1032,256,1e-05,0.928896928096447,0.998,0.95,0.2,10,200,selu,902.8912048339844,3.735743643318301e-07
0,4,7,186,0.0001,1032,256,1.0,0.9455878140869763,0.998,0.95,0.2,10,200,selu,7.179335214197636,8.476287298719853e-07
0,5,5,497,0.0001,1032,256,1e-05,0.9557138238468571,0.998,0.95,0.2,10,200,selu,789.1997833251953,2.1674968238016845e-06
0,6,7,388,1e-05,1032,256,0.0001,0.9441943840744449,0.998,0.95,0.2,10,200,selu,638.2539005279541,3.2624276116166584e-06
0,7,9,142,0.001,1032,256,1e-05,0.9738976480261786,0.998,0.95,0.2,10,200,selu,4.739556610584259,6.762974624763274e-08
0,8,8,330,0.0001,1032,256,1e-05,0.9535572823289139,0.998,0.95,0.2,10,200,selu,19.647730380296707,2.110549353062652e-06
0,9,9,403,1e-05,1032,256,1e-05,0.9832798837776751,0.998,0.95,0.2,10,200,selu,861.9056625366211,7.917572766302783e-07
0,10,5,368,0.001,1032,256,1.0,0.9763395415731263,0.998,0.95,0.2,10,200,selu,5.838985241949558,2.880312971378224e-08
0,11,9,125,0.0001,1032,256,0.1,0.992320090961262,0.998,0.95,0.2,10,200,selu,7.1247866451740265,6.509998868864386e-07
0,12,6,158,0.001,1032,256,0.001,0.973290318152341,0.998,0.95,0.2,10,200,selu,8.15237595140934,6.188346418634083e-09
0,13,5,121,0.001,1032,256,0.0001,0.9140197122566038,0.998,0.95,0.2,10,200,selu,7.10310323536396,6.00657497074053e-08
0,14,5,236,1e-05,1032,256,1.0,0.9365725601536512,0.998,0.95,0.2,10,200,selu,748.0972576141357,1.9932052879312323e-06
0,15,5,407,0.0001,1032,256,0.01,0.9546084055242786,0.998,0.95,0.2,10,200,selu,7.74833382666111,1.7156440534904505e-06
0,16,8,254,1e-05,1032,256,0.1,0.9336131221830789,0.998,0.95,0.2,10,200,selu,26.644439220428467,2.0536256783998397e-06
0,17,8,118,0.0001,1032,256,0.1,0.9022737646070231,0.998,0.95,0.2,10,200,selu,8.981397032737732,8.946207223914371e-07
0,18,9,293,0.001,1032,256,0.1,0.9337747737572474,0.998,0.95,0.2,10,200,selu,9.769317120313644,3.3568558627239398e-09
0,19,8,415,0.0001,1032,256,1.0,0.9119219553163396,0.998,0.95,0.2,10,200,selu,11.567246243357658,1.7893587855866144e-07
0,20,6,343,0.0001,1032,256,0.001,0.9106109621786521,0.998,0.95,0.2,10,200,selu,10.165038630366325,1.2717434074716039e-06
0,21,5,408,0.0001,1032,256,0.001,0.9996777778564208,0.998,0.95,0.2,10,200,selu,7.707256227731705,1.4381636717075708e-06
0,22,6,159,0.001,1032,256,0.01,0.919818310764281,0.998,0.95,0.2,10,200,selu,9.181980669498444,6.298971320234381e-09
0,23,9,324,1e-05,1032,256,1.0,0.9255412104684524,0.998,0.95,0.2,10,200,selu,35.32256406545639,2.766581374658017e-06
0,24,6,235,0.0001,1032,256,0.001,0.9139205554737979,0.998,0.95,0.2,10,200,selu,8.792654909193516,9.386290642510176e-07
0,25,5,444,1e-05,1032,256,1e-05,0.9556478464746612,0.998,0.95,0.2,10,200,selu,942.9042778015137,2.4069841764173816e-07
0,26,8,419,1e-05,1032,256,0.01,0.9509677378212251,0.998,0.95,0.2,10,200,selu,15.07029339671135,2.620802931119215e-06
0,27,8,364,0.0001,1032,256,0.01,0.944383776980651,0.998,0.95,0.2,10,200,selu,7.5578486025333405,3.5919415886098705e-07
0,28,5,229,0.001,1032,256,0.001,0.9053034589745916,0.998,0.95,0.2,10,200,selu,7.603284101933241,2.5555503213592345e-08
0,29,5,459,0.0001,1032,256,0.01,0.9063013970275345,0.998,0.95,0.2,10,200,selu,7.673304930329323,1.83900955619265e-06
0,30,8,328,0.001,1032,256,0.001,0.904212991138498,0.998,0.95,0.2,10,200,selu,5.905303485691547,5.36756926405868e-09
0,31,6,431,0.0001,1032,256,1.0,0.9064140503413234,0.998,0.95,0.2,10,200,selu,9.08208118379116,5.627656953777205e-07
0,32,5,366,0.001,1032,256,0.001,0.9397530651641784,0.998,0.95,0.2,10,200,selu,5.3339535146951675,2.5237846340564474e-08
0,33,7,136,0.001,1032,256,0.1,0.9966080886995383,0.998,0.95,0.2,10,200,selu,7.459972381591797,6.802834325372875e-09
0,34,7,120,0.0001,1032,256,0.0001,0.9823858078457749,0.998,0.95,0.2,10,200,selu,8.724898256361485,1.5183407597874066e-06
0,35,5,300,0.001,1032,256,0.01,0.9427830476899257,0.998,0.95,0.2,10,200,selu,5.646044850349426,2.584330769869747e-08
0,36,9,156,0.0001,1032,256,0.0001,0.9556539018401315,0.998,0.95,0.2,10,200,selu,9.226067915558815,6.45538019483638e-07
0,37,7,141,0.001,1032,256,1e-05,0.9887926290310645,0.998,0.95,0.2,10,200,selu,9.013962045311928,1.416567947387648e-07
0,38,8,180,0.0001,1032,256,1e-05,0.9459997169701545,0.998,0.95,0.2,10,200,selu,16.5132614672184,2.5614036189836042e-06
0,39,7,325,0.0001,1032,256,1e-05,0.9018368652676305,0.998,0.95,0.2,10,200,selu,15.665725857019424,2.4590515010913805e-06
0,40,8,226,0.001,1032,256,0.0001,0.9883598266135922,0.998,0.95,0.2,10,200,selu,7.862810283899307,5.390753588310759e-09
0,41,6,468,1e-05,1032,256,1e-05,0.9870539550961827,0.998,0.95,0.2,10,200,selu,883.8311996459961,2.8223397841031783e-07
0,42,9,476,0.0001,1032,256,0.0001,0.9004547843847945,0.998,0.95,0.2,10,200,selu,11.040679559111595,3.6098655975536076e-07
0,43,5,109,0.001,1032,256,1e-05,0.9406788218552993,0.998,0.95,0.2,10,200,selu,6.5912090092897415,6.915590446965325e-07
0,44,5,112,1e-05,1032,256,0.1,0.9833318925758174,0.998,0.95,0.2,10,200,selu,884.1399879455566,1.4836438353427184e-06
0,45,6,462,1e-05,1032,256,1e-05,0.9298365439216877,0.998,0.95,0.2,10,200,selu,888.8492126464844,2.508312304527749e-07
0,46,5,266,1e-05,1032,256,0.0001,0.9143663811231851,0.998,0.95,0.2,10,200,selu,903.9828300476074,7.996861768333474e-07
0,47,6,354,0.0001,1032,256,0.01,0.9662101996546721,0.998,0.95,0.2,10,200,selu,6.199004024267197,6.473189948508207e-07
0,48,8,474,1e-05,1032,256,0.0001,0.9866830354475026,0.998,0.95,0.2,10,200,selu,388.4099807739258,4.20003419776549e-06
0,49,9,233,0.001,1032,256,0.0001,0.9110979436631068,0.998,0.95,0.2,10,200,selu,6.992374405264854,5.454347254234271e-09
0,50,6,104,0.001,1032,256,0.01,0.9971202698082196,0.998,0.95,0.2,10,200,selu,5.693750716745853,3.788306512930717e-08
0,51,9,118,0.0001,1032,256,0.1,0.9775253509161446,0.998,0.95,0.2,10,200,selu,8.297090858221054,9.968624326006648e-07
0,52,9,168,0.0001,1032,256,0.001,0.9506622505194993,0.998,0.95,0.2,10,200,selu,6.586700215935707,5.761373493839983e-07
0,53,7,265,0.0001,1032,256,0.0001,0.9639826243856987,0.998,0.95,0.2,10,200,selu,8.065027460455894,1.013683029071899e-06
0,54,7,115,0.0001,1032,256,0.0001,0.9829640450148522,0.998,0.95,0.2,10,200,selu,11.221882611513138,1.3019392781643546e-06
0,55,9,451,1e-05,1032,256,1e-05,0.9297793610352437,0.998,0.95,0.2,10,200,selu,841.8779029846191,9.735195085625037e-07
0,56,7,197,1e-05,1032,256,1.0,0.9008151931309895,0.998,0.95,0.2,10,200,selu,160.8201560974121,2.0303158478895966e-06
