,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,alpha,alpha_decay,lr_decay,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,3,65,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.4365249574184418,1.5690262764692307
0,1,5,158,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.18015328189358115,0.09071615990251303
0,2,9,11,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,1.9278074726462364,0.7040358670055866
0,3,5,126,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.6743625300005078,0.04768092092126608
0,4,5,193,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.48197643272578716,0.04820981342345476
0,5,7,77,0.03,1032,256,0.9,0.998,0.95,10,300,selu,1.4140249658375978,1.9249320104718208
0,6,6,110,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.6782851219177246,0.07879328029230237
0,7,9,239,0.003,1032,256,0.9,0.998,0.95,10,300,selu,1.0893308836966753,0.07755326689220965
0,8,5,96,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.3485207427293062,0.18968858662992716
0,9,7,124,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.5126730594784021,0.05985405598767102
0,10,5,265,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.2684977655299008,0.05105839716270566
0,11,7,113,0.03,1032,256,0.9,0.998,0.95,10,300,selu,204.84850597381592,0.0
0,12,8,222,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.8318193014711142,0.08362851571291685
0,13,4,23,0.03,1032,256,0.9,0.998,0.95,10,300,selu,1.0290330220013857,0.19615868758410215
0,14,3,272,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.4343842100352049,0.0802580479066819
0,15,2,236,0.03,1032,256,0.9,0.998,0.95,10,300,selu,4.18589349091053,0.18914277013391256
0,16,9,175,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.2462139909621328,0.08156015607528389
0,17,5,46,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.6559274289757013,0.5268024932593107
0,18,3,33,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.6511586792767048,1.4878432601690292
0,19,2,13,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.28200542740523815,1.3891070559620857
0,20,9,284,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.30856171576306224,0.03833988413680345
0,21,9,181,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.40677603147923946,0.08468416659161448
0,22,9,67,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.5561154745519161,0.07608578982762992
0,23,4,14,0.03,1032,256,0.9,0.998,0.95,10,300,selu,0.5260789357125759,0.38074792362749577
0,24,9,90,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.3937500435858965,0.04954169038683176
0,25,4,136,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.30942584574222565,0.13510328438133
0,26,6,288,0.003,1032,256,0.9,0.998,0.95,10,300,selu,1.3378210421651602,0.08991155261173844
0,27,2,204,0.03,1032,256,0.9,0.998,0.95,10,300,selu,2.096649583429098,0.1455199676565826
0,28,8,47,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.35254330560564995,0.2971620913594961
0,29,9,77,0.03,1032,256,0.9,0.998,0.95,10,300,selu,205.23375129699707,0.0
0,30,8,158,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.39379372587427497,0.06929696584120393
0,31,8,174,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.524157015606761,0.08812733646482229
0,32,5,125,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.3673145370557904,0.03869243792723864
0,33,8,150,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.40274081798270345,0.07080335402861238
0,34,8,254,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.453692433424294,0.04422757006250322
0,35,8,55,0.03,1032,256,0.9,0.998,0.95,10,300,selu,203.23774337768555,0.0
0,36,4,149,0.03,1032,256,0.9,0.998,0.95,10,300,selu,2.255585316568613,0.10337205231189728
0,37,5,101,0.03,1032,256,0.9,0.998,0.95,10,300,selu,1.8983493261039257,1.1789181120693684
0,38,8,102,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.30815235432237387,0.06296908482909203
0,39,7,64,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.5531103536486626,0.08481604978442192
0,40,9,18,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.7732482869178057,1.0247458554804325
0,41,6,121,0.03,1032,256,0.9,0.998,0.95,10,300,selu,207.714919090271,0.0
0,42,4,73,0.03,1032,256,0.9,0.998,0.95,10,300,selu,1.6906753480434418,0.16809483943507075
0,43,4,48,0.03,1032,256,0.9,0.998,0.95,10,300,selu,0.520424161106348,0.1601897059008479
0,44,9,95,0.03,1032,256,0.9,0.998,0.95,10,300,selu,205.7896614074707,0.0
0,45,9,47,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.3412013277411461,0.39105585776269436
0,46,5,80,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.2700341297313571,0.23045887425541878
0,47,2,17,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.7924213632941246,1.434752643108368
0,48,5,256,0.03,1032,256,0.9,0.998,0.95,10,300,selu,205.62061405181885,0.0
0,49,2,201,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.35566902346909046,1.4569551646709442
0,50,3,145,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.5058200983330607,0.06367692025378346
0,51,2,205,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.4205750869587064,1.9526936784386635
0,52,2,19,0.03,1032,256,0.9,0.998,0.95,10,300,selu,0.5131117701530457,0.19612137135118246
0,53,9,262,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.33090447587892413,0.044352322816848755
0,54,2,132,0.03,1032,256,0.9,0.998,0.95,10,300,selu,1.8863190580159426,0.06704028672538698
0,55,5,195,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.5460443831980228,0.04022337985225022
0,56,3,11,0.03,1032,256,0.9,0.998,0.95,10,300,selu,0.48659243807196617,0.22737278509885073
0,57,6,268,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.3600135422311723,0.06590189086273313
0,58,8,143,0.0003,1032,256,0.9,0.998,0.95,10,300,selu,0.3333083810284734,0.08804464712738991
0,59,5,80,0.03,1032,256,0.9,0.998,0.95,10,300,selu,1.2773308251053095,0.1662223688326776
0,60,5,19,0.03,1032,256,0.9,0.998,0.95,10,300,selu,0.6758454404771328,0.2673532972112298
0,61,6,242,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.569269104860723,0.039255678188055754
0,62,3,239,0.003,1032,256,0.9,0.998,0.95,10,300,selu,0.5375106884166598,0.052370000164955854
0,63,5,171,0.03,1032,256,0.9,0.998,0.95,10,300,selu,201.3394374847412,0.0
0,64,2,84,0.03,1032,256,0.9,0.998,0.95,10,300,selu,1.4346459098160267,0.10492267925292253
0,65,6,298,0.03,1032,256,0.9,0.998,0.95,10,300,selu,201.70282554626465,0.0
