,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,alpha_decay,lr_decay,alpha,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,5,16,0.03,1032,256,0.99,0.99,0.95,3,300,selu,6.511859901249409,0.15290027065202594
0,1,6,197,0.03,1032,256,0.99,0.99,0.95,3,300,selu,203.939058303833,0.0
0,2,7,12,0.003,1032,256,0.99,0.99,0.95,3,300,selu,1.5874999705702066,0.17081163311377168
0,3,3,65,0.03,1032,256,0.99,0.99,0.95,3,300,selu,10.973858669400215,0.07933021837379783
0,4,7,180,0.0003,1032,256,0.99,0.99,0.95,3,300,selu,2.788722164928913,0.09379890188574791
0,5,5,19,0.03,1032,256,0.99,0.99,0.95,3,300,selu,5.093294054269791,0.08603035844862461
0,6,2,31,0.03,1032,256,0.99,0.99,0.95,3,300,selu,6.3604622185230255,0.12895012833178043
0,7,4,17,0.03,1032,256,0.99,0.99,0.95,3,300,selu,5.313056696206331,0.11905725579708815
0,8,7,224,0.003,1032,256,0.99,0.99,0.95,3,300,selu,3.341692492365837,0.0673998910933733
0,9,8,19,0.0003,1032,256,0.99,0.99,0.95,3,300,selu,1.354380365461111,0.412665206938982
0,10,7,146,0.0003,1032,256,0.99,0.99,0.95,3,300,selu,2.0837195217609406,0.08099788916297257
