,trial_id,num_layers,num_hidden_units,batchsize,boundary_batchsize,weight_change,lr_decay,alpha,patience,epochs,lr,activation,final_boundary_loss,final_pinn_loss
0,0,7,52,512,512,1.2029940802227954,0.9358598923497738,0.20497106639346954,3,400,0.03,selu,0.464080598205328,0.14165089512243867
0,1,2,82,2048,512,1.366278529368466,0.8791900994669781,0.2932108701208157,4,400,0.03,selu,0.12212399672716856,0.040127864107489586
0,2,8,142,2048,128,1.17124569168113,0.9790201292172178,0.10951432790948337,2,400,0.03,selu,102.90977668762207,0.0
0,3,8,127,256,512,1.2970975419751516,0.8675017518857329,0.4515263451130286,2,400,0.03,selu,806.4742832183838,0.0
0,4,7,158,256,256,1.2931861082469092,0.9630766941550757,0.13015323261848133,2,400,0.03,selu,800.0544424057007,0.0
0,5,8,180,1032,256,1.3406067212482546,0.8740522805070947,0.3574365557725564,4,400,0.03,selu,205.162260055542,0.0
0,6,7,136,1032,64,1.2623725767499971,0.9901154981755049,0.2470855164459147,3,400,0.03,selu,200.90019512176514,0.0
0,7,4,153,512,128,1.4335310888091628,0.9208968589754348,0.15068199501831014,3,400,0.03,selu,409.41789054870605,0.0
0,8,8,78,2048,64,1.2238819232417844,0.9839495771800317,0.36096822965561015,2,400,0.03,selu,102.89598369598389,5.083097159724052e-29
0,9,3,106,1032,512,1.24618611448062,0.9414733325437386,0.4953696111493374,3,400,0.03,selu,0.16081496933475137,0.010680862760636955
0,10,8,106,2048,512,1.4737369216226077,0.8451267560641094,0.476180071599584,4,400,0.03,selu,0.23910966143012047,0.04132669046521187
0,11,2,145,2048,512,1.3275754919399054,0.8544553021275508,0.3494335181526478,3,400,0.03,selu,0.44177358224987984,0.10349934827536345
0,12,6,210,2048,512,1.179332044257006,0.8464125127889948,0.3056736598381291,2,400,0.03,selu,102.08535480499268,0.0
0,13,4,159,512,256,1.1365275479795696,0.835057765829423,0.3539315368954392,2,400,0.03,selu,0.4579092785716057,0.407042327336967
0,14,8,141,2048,128,1.2103246708083426,0.8062746868623637,0.268734119986038,3,400,0.03,selu,104.1259937286377,0.0
0,15,7,97,512,512,1.2076939329968823,0.9025036091719025,0.4752169824948941,2,400,0.03,selu,408.34142303466797,0.0
0,16,8,124,256,512,1.4840040186030192,0.9050772186471722,0.41447324421464793,4,400,0.03,selu,806.4743051528931,0.0
0,17,5,264,512,256,1.1747011910127554,0.9201276131582078,0.45800592451640443,2,400,0.03,selu,410.0840892791748,0.0
0,18,8,207,256,256,1.4746410589350885,0.9194616657211918,0.32647802937235515,3,400,0.03,selu,807.8855152130127,0.0
0,19,3,78,512,512,1.4360155636589538,0.8604575732686676,0.19266091620548942,2,400,0.03,selu,0.5602174894884229,0.04061419499339536
0,20,7,299,512,128,1.2937216992646996,0.9112350198251287,0.31550424044439673,3,400,0.03,selu,412.7895231246948,0.0
0,21,9,204,256,128,1.1149620112975573,0.9500107926902596,0.13804194784164914,4,400,0.03,selu,803.6130390167236,0.0
0,22,4,269,512,128,1.4200457185790283,0.9790771414542123,0.32228665975418425,3,400,0.03,selu,6.412248954176903,0.03248053847346455
0,23,8,101,1032,512,1.2970803884293967,0.9232417531318078,0.2819168195196765,4,400,0.03,selu,204.17070865631104,0.0
0,24,6,21,512,128,1.0259592461844869,0.811951781330265,0.19290016779819694,2,400,0.03,selu,0.5392859177663922,2.8238663896918297
0,25,6,243,1032,128,1.3783739883099189,0.9478669217675486,0.2051676515170057,3,400,0.03,selu,204.71579933166504,0.0
