,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,beta,alpha,alpha_decay,lr_decay,alpha_limit,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,6,309,0.0003,1032,256,0.7671358788861634,0.9425073881731602,0.998,0.95,0.2,10,200,selu,0.05537451570853591,0.06897781859152019
0,1,6,254,3e-05,1032,256,0.9913668205544736,0.9123282044747821,0.998,0.95,0.2,10,200,selu,0.19537383993156254,0.291519139893353
0,2,9,299,3e-05,1032,256,0.3414857260821513,0.975472855866957,0.998,0.95,0.2,10,200,selu,0.1355693049263209,0.16307955933734775
0,3,7,250,3e-05,1032,256,0.09376140425453658,0.9097304210830809,0.998,0.95,0.2,10,200,selu,0.09495725622400641,0.11643881304189563
0,4,5,186,0.003,1032,256,0.13715998865777843,0.9368668334250133,0.998,0.95,0.2,10,200,selu,0.16951666586101055,0.12532319547608495
0,5,8,425,3e-05,1032,256,0.5424032720477815,0.9501226391313989,0.998,0.95,0.2,10,200,selu,0.2111126398667693,0.14529190538451076
0,6,6,198,3e-05,1032,256,0.8033536921557081,0.9281438331937961,0.998,0.95,0.2,10,200,selu,0.24705940345302224,0.46408444829285145
0,7,5,161,0.0003,1032,256,0.7861169643199781,0.9165904459258346,0.998,0.95,0.2,10,200,selu,0.046279823407530785,0.08351476746611297
0,8,8,122,3e-05,1032,256,0.11186525509667773,0.9523351819742208,0.998,0.95,0.2,10,200,selu,0.12540795281529427,0.22349563892930746
0,9,5,410,0.0003,1032,256,0.8854429483931585,0.9040679532796061,0.998,0.95,0.2,10,200,selu,0.07324178220005706,0.0634982674382627
0,10,6,394,0.003,1032,256,0.08407304988728034,0.9694041747070417,0.998,0.95,0.2,10,200,selu,1.410113276913762,0.08049785695038736
0,11,6,276,0.003,1032,256,0.23827041464492713,0.9577974737147522,0.998,0.95,0.2,10,200,selu,0.8020342672243714,0.04450989665929228
0,12,8,466,0.003,1032,256,0.9069854295510787,0.9895475449127643,0.998,0.95,0.2,10,200,selu,1.7834593430161476,0.17224653949961066
0,13,5,188,3e-05,1032,256,0.6958347671714574,0.9007880442531859,0.998,0.95,0.2,10,200,selu,0.1453152063768357,0.4517795853316784
0,14,8,444,3e-05,1032,256,0.6314801319074489,0.9306160853973693,0.998,0.95,0.2,10,200,selu,0.2069562436081469,0.13476364547386765
0,15,9,227,3e-05,1032,256,0.8690914695428058,0.9950532952448272,0.998,0.95,0.2,10,200,selu,0.2919348587747663,0.24110935907810926
0,16,8,301,3e-05,1032,256,0.6555199971758108,0.9978943575383264,0.998,0.95,0.2,10,200,selu,0.1553327280562371,0.2096857000142336
0,17,6,363,0.003,1032,256,0.48858182665450595,0.9344221793976876,0.998,0.95,0.2,10,200,selu,1.1769046373665333,0.05225885799154639
0,18,6,116,3e-05,1032,256,0.5852053004254836,0.9124830575584915,0.998,0.95,0.2,10,200,selu,0.14151412714272738,0.47049363143742085
0,19,5,187,3e-05,1032,256,0.7267777405756094,0.9854587422906577,0.998,0.95,0.2,10,200,selu,0.1988659577909857,0.3940599448978901
0,20,7,406,3e-05,1032,256,0.3538522402136889,0.9209098593049538,0.998,0.95,0.2,10,200,selu,0.14301889948546886,0.1176463607698679
0,21,9,427,0.003,1032,256,0.8287927528134317,0.9083716366951329,0.998,0.95,0.2,10,200,selu,1.6216248720884323,0.09361154492944479
0,22,9,231,0.0003,1032,256,0.25286854902953243,0.9934513913140199,0.998,0.95,0.2,10,200,selu,0.1423216115217656,0.09841211629100144
0,23,6,221,0.003,1032,256,0.38379163551418155,0.9822505672247276,0.998,0.95,0.2,10,200,selu,0.14782555028796196,0.1130348052829504
0,24,9,190,0.0003,1032,256,0.22165332913386082,0.9535758031312191,0.998,0.95,0.2,10,200,selu,0.15428696374874562,0.06706248945556581
0,25,7,412,3e-05,1032,256,0.21537300147672944,0.9594524734073392,0.998,0.95,0.2,10,200,selu,0.08645794237963855,0.08747719554230571
0,26,6,397,3e-05,1032,256,0.8763886914316309,0.9573230953587251,0.998,0.95,0.2,10,200,selu,0.20130578172393143,0.1849260199815035
0,27,7,152,0.0003,1032,256,0.19045078387012707,0.9328129461447716,0.998,0.95,0.2,10,200,selu,0.0940653660800308,0.06728437868878245
0,28,8,362,0.003,1032,256,0.9941974399834084,0.9811292977844918,0.998,0.95,0.2,10,200,selu,0.993986077606678,0.054688202566467226
0,29,8,182,3e-05,1032,256,0.05813780377354123,0.906660882122323,0.998,0.95,0.2,10,200,selu,0.13805931294336915,0.11803748924285173
0,30,6,359,0.003,1032,256,0.03562068609112236,0.9975161029588203,0.998,0.95,0.2,10,200,selu,5.2405688017606735,1.16215366290362e-05
0,31,9,440,3e-05,1032,256,0.7979787008706423,0.9445528812638347,0.998,0.95,0.2,10,200,selu,0.18590237095486373,0.16771835694089532
0,32,7,181,0.0003,1032,256,0.4450007066357337,0.9687748209097987,0.998,0.95,0.2,10,200,selu,0.040041149011813104,0.09174830722622573
0,33,8,192,0.003,1032,256,0.4081139788385069,0.9481524546040467,0.998,0.95,0.2,10,200,selu,0.5870358604006469,0.05496053001843393
0,34,9,307,0.003,1032,256,0.6350015930675833,0.9126829572231728,0.998,0.95,0.2,10,200,selu,1.276133118197322,0.0858332694042474
0,35,7,373,0.003,1032,256,0.5002946315551439,0.935152823655122,0.998,0.95,0.2,10,200,selu,2.0683234557509422,0.08787377760745585
0,36,5,193,0.003,1032,256,0.1281656858440987,0.9697688535715081,0.998,0.95,0.2,10,200,selu,0.14792330539785326,0.10220351535826921
0,37,6,122,0.0003,1032,256,0.4400702136188141,0.9594409506723488,0.998,0.95,0.2,10,200,selu,0.0882401850540191,0.0848185874056071
0,38,9,365,0.003,1032,256,0.22191164052751344,0.9651708156662719,0.998,0.95,0.2,10,200,selu,5.085442513227463,2.542044974518376e-07
0,39,5,135,0.003,1032,256,0.22369210587163516,0.9148954441964129,0.998,0.95,0.2,10,200,selu,0.09717478381935507,0.1110754762776196
