,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,alpha,alpha_decay,lr_decay,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,8,62,0.03,1032,256,0.9,0.9983812116460048,0.95,10,300,selu,204.67756175994873,0.0
0,1,3,61,0.0003,1032,256,0.9,0.981968169557745,0.95,10,300,selu,0.8561073876917362,0.05565753718838096
0,2,7,112,0.0003,1032,256,0.9,0.9814738736673936,0.95,10,300,selu,0.3309327904134989,0.03504366963170469
0,3,6,202,0.0003,1032,256,0.9,0.9903420819458911,0.95,10,300,selu,0.3306556763127446,0.03276613669004291
0,4,7,192,0.0003,1032,256,0.9,0.9913240202313167,0.95,10,300,selu,0.38581244740635157,0.04381707822903991
0,5,7,245,0.0003,1032,256,0.9,0.9942703405219798,0.95,10,300,selu,0.4319090973585844,0.03496879944577813
0,6,7,138,0.03,1032,256,0.9,0.9825982158664858,0.95,10,300,selu,205.82638359069824,0.0
0,7,8,170,0.0003,1032,256,0.9,0.988042027135433,0.95,10,300,selu,0.24350622156634927,0.044242076110094786
0,8,8,170,0.003,1032,256,0.9,0.9885651598544725,0.95,10,300,selu,0.5334396958351135,0.019624898093752563
0,9,6,224,0.003,1032,256,0.9,0.9897941922657236,0.95,10,300,selu,0.6333665866404772,0.024404803407378495
0,10,8,21,0.03,1032,256,0.9,0.991740990357922,0.95,10,300,selu,0.7165127657353878,0.07953161327168345
0,11,2,150,0.003,1032,256,0.9,0.9908975958344404,0.95,10,300,selu,0.2916907421313226,0.03817703656386584
0,12,5,30,0.0003,1032,256,0.9,0.9939542635787332,0.95,10,300,selu,0.5392266288399696,0.1750561250373721
0,13,4,81,0.03,1032,256,0.9,0.9924005375047699,0.95,10,300,selu,1.2358246836811304,0.016969913558568805
0,14,7,46,0.003,1032,256,0.9,0.9859700885313327,0.95,10,300,selu,0.45697667729109526,0.03924113838002086
0,15,7,214,0.0003,1032,256,0.9,0.9811735700099026,0.95,10,300,selu,0.4154708404093981,0.029721375438384712
0,16,4,203,0.0003,1032,256,0.9,0.9990443299612445,0.95,10,300,selu,0.2854129206389189,0.10614701872691512
0,17,7,103,0.0003,1032,256,0.9,0.9840137602773825,0.95,10,300,selu,0.5445285923779011,0.07719762530177832
0,18,5,155,0.0003,1032,256,0.9,0.9833786600223493,0.95,10,300,selu,0.43785997945815325,0.04434252018108964
0,19,9,70,0.03,1032,256,0.9,0.983306181640497,0.95,10,300,selu,203.57565021514893,0.0
0,20,6,268,0.003,1032,256,0.9,0.9854209565762799,0.95,10,300,selu,0.4084005719050765,0.01614821091061458
0,21,7,93,0.003,1032,256,0.9,0.9857847723326115,0.95,10,300,selu,0.31639610417187214,0.021696396986953914
0,22,6,205,0.003,1032,256,0.9,0.9802042752909528,0.95,10,300,selu,0.7058786060661077,0.015124657191336155
0,23,8,142,0.003,1032,256,0.9,0.9954196077102693,0.95,10,300,selu,0.43849716428667307,0.03455059078987688
0,24,4,36,0.0003,1032,256,0.9,0.9992352502287265,0.95,10,300,selu,0.31046588253229856,2.3184978887438774
0,25,5,284,0.003,1032,256,0.9,0.9800176950809834,0.95,10,300,selu,0.7575588095933199,0.018627762678079307
0,26,8,43,0.03,1032,256,0.9,0.9915001383466663,0.95,10,300,selu,1.2754458263516426,0.07677822234109044
0,27,9,102,0.003,1032,256,0.9,0.9918525233674644,0.95,10,300,selu,0.3322312510572374,0.028691790415905416
0,28,8,188,0.03,1032,256,0.9,0.986872062429181,0.95,10,300,selu,199.52657413482666,0.0
0,29,4,177,0.003,1032,256,0.9,0.9919196331246518,0.95,10,300,selu,0.4883689358830452,0.020120778237469494
0,30,3,102,0.003,1032,256,0.9,0.9997450635224745,0.95,10,300,selu,0.47018047235906124,1.0715651772916317
0,31,5,155,0.0003,1032,256,0.9,0.9973319320294544,0.95,10,300,selu,0.3279872443526983,0.0851783468388021
0,32,8,62,0.003,1032,256,0.9,0.9963606683583711,0.95,10,300,selu,0.5741346394643188,0.04542875639162958
0,33,3,40,0.003,1032,256,0.9,0.9920055795628153,0.95,10,300,selu,0.27533314377069473,0.09033295838162303
0,34,9,194,0.003,1032,256,0.9,0.9826202750573415,0.95,10,300,selu,0.8655452206730843,0.017741297255270183
0,35,9,287,0.003,1032,256,0.9,0.9904878930221809,0.95,10,300,selu,0.5240982072427869,0.017313604126684368
0,36,2,179,0.0003,1032,256,0.9,0.9995285675781156,0.95,10,300,selu,0.2181033338420093,2.3525178134441376
0,37,4,76,0.003,1032,256,0.9,0.9970765453947271,0.95,10,300,selu,0.5149669414386153,0.08201014949008822
0,38,3,130,0.03,1032,256,0.9,0.9967929909359077,0.95,10,300,selu,2.2631100602447987,0.035679971566423774
0,39,3,172,0.03,1032,256,0.9,0.9979762348015905,0.95,10,300,selu,3.269726775586605,1.2453434132039547
0,40,6,75,0.003,1032,256,0.9,0.9802572238961048,0.95,10,300,selu,0.7652019076049328,0.025805670418776572
0,41,3,99,0.003,1032,256,0.9,0.9925934826142281,0.95,10,300,selu,0.3417770117521286,0.043291930109262466
0,42,6,75,0.0003,1032,256,0.9,0.9879953954233435,0.95,10,300,selu,0.4576278571039438,0.10009966231882572
0,43,5,205,0.0003,1032,256,0.9,0.9968623971027597,0.95,10,300,selu,0.269119436154142,0.05282791657373309
0,44,8,52,0.03,1032,256,0.9,0.9909685152346924,0.95,10,300,selu,1.1863548681139946,0.08739628689363599
0,45,4,211,0.0003,1032,256,0.9,0.9880463164601625,0.95,10,300,selu,0.3321632365696132,0.036920201033353806
0,46,6,181,0.03,1032,256,0.9,0.9834742527208306,0.95,10,300,selu,204.12871742248535,0.0
0,47,3,190,0.03,1032,256,0.9,0.9975120512329761,0.95,10,300,selu,3.240278735756874,0.07262433785945177
0,48,3,110,0.03,1032,256,0.9,0.9990655233570019,0.95,10,300,selu,2.2729850746691227,0.19509116187691689
0,49,7,158,0.003,1032,256,0.9,0.9905594993627762,0.95,10,300,selu,0.45623355731368065,0.026459018932655454
