,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,beta,alpha,alpha_decay,lr_decay,alpha_limit,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,6,204,0.0001,1032,256,0.001,0.9791153154413608,0.998,0.95,0.2,10,100,selu,30.424527376890182,1.253791943156557e-06
0,1,8,526,1e-05,1032,256,1e-06,0.9824655212849555,0.998,0.95,0.2,10,100,selu,927.2158279418945,9.419762170281842e-08
0,2,5,640,1e-05,1032,256,0.0001,0.9151618580694725,0.998,0.95,0.2,10,100,selu,884.7827262878418,1.3765708501978224e-06
0,3,6,315,0.001,1032,256,1e-09,0.9951098687902333,0.998,0.95,0.2,10,100,selu,924.4400863647461,4.6410722376322155e-08
0,4,7,272,0.0001,1032,256,1e-08,0.9824307554586734,0.998,0.95,0.2,10,100,selu,904.0388221740723,2.0054777039035798e-07
0,5,8,233,0.001,1032,256,0.1,0.9514555181469594,0.998,0.95,0.2,10,100,selu,38.509341180324554,4.302054018578971e-09
0,6,9,228,1e-05,1032,256,1e-06,0.9480629867619782,0.998,0.95,0.2,10,100,selu,940.3540267944336,2.3266127069376807e-07
0,7,6,132,0.0001,1032,256,0.1,0.9668899485571363,0.998,0.95,0.2,10,100,selu,17.439073652029037,1.406591010777447e-06
0,8,5,690,0.0001,1032,256,0.1,0.9211723833279455,0.998,0.95,0.2,10,100,selu,45.32497948408127,1.132275638582314e-06
0,9,6,661,0.0001,1032,256,0.01,0.9971677899280824,0.998,0.95,0.2,10,100,selu,53.385677218437195,4.897249912261259e-07
0,10,8,216,1e-05,1032,256,1e-07,0.938479332021092,0.998,0.95,0.2,10,100,selu,916.7937507629395,6.170642619096611e-08
0,11,6,551,0.001,1032,256,0.01,0.967770907321517,0.998,0.95,0.2,10,100,selu,25.657337248325348,9.034223740281289e-08
0,12,8,554,1e-05,1032,256,0.1,0.9053797152172652,0.998,0.95,0.2,10,100,selu,85.70754873752594,3.1210426669758817e-06
0,13,5,603,1e-05,1032,256,1e-07,0.9780701222211123,0.998,0.95,0.2,10,100,selu,908.9418258666992,1.1630241436577649e-08
0,14,6,343,1e-05,1032,256,1e-06,0.9365355906896274,0.998,0.95,0.2,10,100,selu,928.4065704345703,1.965233786815901e-08
0,15,9,594,0.0001,1032,256,0.01,0.9980497484416394,0.998,0.95,0.2,10,100,selu,49.789838790893555,1.4157288591443162e-08
0,16,5,163,0.0001,1032,256,0.01,0.9655045743653818,0.998,0.95,0.2,10,100,selu,26.516156136989594,2.2551393072944848e-06
0,17,8,553,0.0001,1032,256,0.01,0.9701715398935878,0.998,0.95,0.2,10,100,selu,46.96038240194321,3.568107931339881e-08
0,18,6,630,0.0001,1032,256,0.0001,0.983796832890211,0.998,0.95,0.2,10,100,selu,50.286818623542786,1.5394211061448004e-06
0,19,9,548,0.0001,1032,256,1.0,0.9140386235689273,0.998,0.95,0.2,10,100,selu,43.87510699033737,1.4311157120472373e-08
0,20,6,209,1e-05,1032,256,0.0001,0.990636046348321,0.998,0.95,0.2,10,100,selu,866.9328460693359,1.1679714262413654e-06
0,21,7,676,0.0001,1032,256,1e-05,0.9871899945080572,0.998,0.95,0.2,10,100,selu,106.62870001792908,3.971277948267016e-06
0,22,6,646,0.0001,1032,256,0.0001,0.9452893929919546,0.998,0.95,0.2,10,100,selu,50.72185528278351,1.203924917092536e-06
0,23,9,584,1e-05,1032,256,1.0,0.9730232825866948,0.998,0.95,0.2,10,100,selu,43.704572319984436,2.820477874365679e-06
0,24,8,242,0.001,1032,256,1e-07,0.9430556982229824,0.998,0.95,0.2,10,100,selu,882.9645118713379,6.321607841641708e-07
0,25,5,366,0.001,1032,256,1e-07,0.9085976898207853,0.998,0.95,0.2,10,100,selu,933.0142517089844,2.1101675162782385e-07
