,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,beta,alpha,alpha_decay,lr_decay,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,9,291,0.003,1032,256,0.01,0.32772063842498106,0.998,0.95,10,300,selu,0.9359913133084774,0.0017784046303859213
0,1,5,458,0.003,1032,256,0.01,0.8850796983970237,0.998,0.95,10,300,selu,0.4386240770108998,0.0023692305276199477
0,2,7,312,0.003,1032,256,0.01,0.5692743825773139,0.998,0.95,10,300,selu,0.41614925116300583,0.0012547468759294134
0,3,6,222,0.003,1032,256,0.01,0.9596858165177578,0.998,0.95,10,300,selu,0.254967687651515,0.005258217395748943
0,4,6,426,0.003,1032,256,0.01,0.955374762088705,0.998,0.95,10,300,selu,0.3488625683821738,0.002315224046469666
0,5,9,160,0.0003,1032,256,0.01,0.31971145976872184,0.998,0.95,10,300,selu,0.8648245455697179,0.007415480329655111
0,6,6,112,0.003,1032,256,0.01,0.49847116956955545,0.998,0.95,10,300,selu,0.41406076587736607,0.002699605975067243
0,7,7,204,0.0003,1032,256,0.01,0.4202758560450589,0.998,0.95,10,300,selu,0.26434633415192366,0.006694986135698855
0,8,7,243,0.0003,1032,256,0.01,0.37194023822306155,0.998,0.95,10,300,selu,0.44106866605579853,0.006828160694567487
0,9,6,169,0.0003,1032,256,0.01,0.538536562793203,0.998,0.95,10,300,selu,0.3754762886092067,0.011277521378360689
0,10,6,334,0.0003,1032,256,0.01,0.622961845374892,0.998,0.95,10,300,selu,0.40687871957197785,0.0071569801948498935
0,11,9,162,0.0003,1032,256,0.01,0.7472360194421257,0.998,0.95,10,300,selu,0.36526663787662983,0.01521467452403158
0,12,8,339,3e-05,1032,256,0.01,0.3423364514120538,0.998,0.95,10,300,selu,0.6705879773944616,0.027046969160437584
0,13,7,418,0.003,1032,256,0.01,0.6008634231158255,0.998,0.95,10,300,selu,0.6322602229192853,0.002777845769742271
0,14,7,306,0.0003,1032,256,0.01,0.9239940395002075,0.998,0.95,10,300,selu,0.21829515183344483,0.009068681538337842
0,15,9,162,0.003,1032,256,0.01,0.6094684243836408,0.998,0.95,10,300,selu,0.38602293096482754,0.001931227252498502
