,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,beta,alpha,alpha_decay,lr_decay,alpha_limit,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,6,351,0.0003,1032,256,1000000000.0,0.9724192548092918,0.998,0.95,0.1,10,100,selu,23.15470188856125,3.416746588423848
0,1,8,215,3e-06,1032,256,1000000000.0,0.9686507311771454,0.998,0.95,0.1,10,100,selu,862.938362121582,14.652591168880463
0,2,6,547,0.003,1032,256,1000000000.0,0.9969303489549992,0.998,0.95,0.1,10,100,selu,53.64657413959503,5.067921310176001
0,3,5,198,3e-06,1032,256,1000000000.0,0.975474692625174,0.998,0.95,0.1,10,100,selu,966.9869499206543,9.272678166627884
0,4,9,216,0.003,1032,256,1000000000.0,0.9800320262837188,0.998,0.95,0.1,10,100,selu,42.19730859994888,5.478214695118368
0,5,5,551,0.003,1032,256,1000000000.0,0.9573575443424115,0.998,0.95,0.1,10,100,selu,56.21784996986389,2.4639577087946236
0,6,8,444,0.003,1032,256,1000000000.0,0.9939818382939425,0.998,0.95,0.1,10,100,selu,73.11337125301361,4.125963323349399
0,7,7,493,3e-05,1032,256,1000000000.0,0.9693593030033288,0.998,0.95,0.1,10,100,selu,35.3299697637558,7.9124414175748825
0,8,5,359,3e-06,1032,256,1000000000.0,0.9820114363078987,0.998,0.95,0.1,10,100,selu,876.8633842468262,10.919837355613708
0,9,6,110,3e-05,1032,256,1000000000.0,0.9797691203626977,0.998,0.95,0.1,10,100,selu,618.1333866119385,21.361968874931335
0,10,6,134,0.003,1032,256,1000000000.0,0.9991373995006515,0.998,0.95,0.1,10,100,selu,42.054760962724686,3.9130318639799953
0,11,8,260,3e-05,1032,256,1000000000.0,0.9597244016622082,0.998,0.95,0.1,10,100,selu,35.08689898252487,7.350426554679871
0,12,7,550,3e-05,1032,256,1000000000.0,0.9716536533327776,0.998,0.95,0.1,10,100,selu,39.83603650331497,10.536522790789604
0,13,6,625,0.0003,1032,256,1000000000.0,0.980019421193943,0.998,0.95,0.1,10,100,selu,45.424721002578735,1.4559802301228046
0,14,9,274,3e-05,1032,256,1000000000.0,0.9504702549742761,0.998,0.95,0.1,10,100,selu,43.55946630239487,6.150508299469948
0,15,7,301,0.003,1032,256,1000000000.0,0.9696732924430551,0.998,0.95,0.1,10,100,selu,39.08134859800339,2.570938182752556
0,16,7,548,3e-05,1032,256,1000000000.0,0.9737970033366348,0.998,0.95,0.1,10,100,selu,47.525044560432434,15.414772510528564
0,17,6,461,3e-05,1032,256,1000000000.0,0.9723879178644927,0.998,0.95,0.1,10,100,selu,57.513091802597046,28.617884397506714
0,18,9,178,0.0003,1032,256,1000000000.0,0.9795380822338838,0.998,0.95,0.1,10,100,selu,44.8117570579052,2.4415398333221674
