,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,beta,alpha,alpha_decay,lr_decay,alpha_limit,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,8,490,0.0003,1032,256,1000000000.0,0.9977554443353724,0.998,0.95,0.1,10,100,selu,49.62726128101349,123.7502748966217
0,1,7,109,0.0003,1032,256,1000000000.0,0.983507035066671,0.998,0.95,0.1,10,100,selu,41.27661794424057,185.81242418289185
0,2,8,570,0.0003,1032,256,1000000000.0,0.961040537418074,0.998,0.95,0.1,10,100,selu,60.775470495224,146.35674405097961
0,3,5,414,3e-06,1032,256,1000000000.0,0.9804003227262992,0.998,0.95,0.1,10,100,selu,889.1230239868164,64.81803584098816
0,4,7,406,3e-05,1032,256,1000000000.0,0.9988515851336548,0.998,0.95,0.1,10,100,selu,134.10543870925903,919.721996307373
0,5,6,608,0.003,1032,256,1000000000.0,0.9644202110710403,0.998,0.95,0.1,10,100,selu,53.28834843635559,89.63923954963684
0,6,7,325,3e-05,1032,256,1000000000.0,0.9878825216585903,0.998,0.95,0.1,10,100,selu,194.57674503326416,550.639310836792
0,7,6,301,0.003,1032,256,1000000000.0,0.985630999560416,0.998,0.95,0.1,10,100,selu,42.15113967657089,86.42318212985992
0,8,5,551,0.0003,1032,256,1000000000.0,0.9876202136729578,0.998,0.95,0.1,10,100,selu,51.53777778148651,154.03575229644775
0,9,8,424,3e-06,1032,256,1000000000.0,0.993236061690147,0.998,0.95,0.1,10,100,selu,879.1160278320312,189.02141666412354
0,10,6,654,3e-05,1032,256,1000000000.0,0.9641686085851997,0.998,0.95,0.1,10,100,selu,168.28455638885498,502.3998680114746
0,11,7,348,0.0003,1032,256,1000000000.0,0.9959513894289067,0.998,0.95,0.1,10,100,selu,46.296767354011536,138.6368749141693
0,12,9,515,0.0003,1032,256,1000000000.0,0.9981790020311847,0.998,0.95,0.1,10,100,selu,56.62580060958862,145.39592051506042
0,13,9,193,3e-05,1032,256,1000000000.0,0.9873703176433387,0.998,0.95,0.1,10,100,selu,178.94868659973145,514.4976062774658
0,14,7,101,3e-06,1032,256,1000000000.0,0.981285708250079,0.998,0.95,0.1,10,100,selu,932.7018890380859,39.19576716423035
0,15,5,629,0.003,1032,256,1000000000.0,0.9629196001034387,0.998,0.95,0.1,10,100,selu,50.46086543798447,85.88267111778259
0,16,7,431,0.003,1032,256,1000000000.0,0.9517946105470754,0.998,0.95,0.1,10,100,selu,54.39679139852524,106.28387594223022
0,17,9,493,3e-06,1032,256,1000000000.0,0.9528011190610195,0.998,0.95,0.1,10,100,selu,764.0404052734375,74.24176502227783
0,18,5,209,0.0003,1032,256,1000000000.0,0.9575840336710172,0.998,0.95,0.1,10,100,selu,62.798900723457336,197.53930473327637
0,19,8,451,3e-06,1032,256,1000000000.0,0.9655267677898054,0.998,0.95,0.1,10,100,selu,824.2315406799316,113.50297451019287
0,20,8,690,3e-05,1032,256,1000000000.0,0.9816125416059432,0.998,0.95,0.1,10,100,selu,149.42216730117798,877.8375091552734
0,21,6,525,3e-06,1032,256,1000000000.0,0.9634410165957411,0.998,0.95,0.1,10,100,selu,933.3956146240234,84.71334910392761
0,22,6,250,0.003,1032,256,1000000000.0,0.9770253898621056,0.998,0.95,0.1,10,100,selu,38.267637729644775,78.43040978908539
0,23,5,680,3e-05,1032,256,1000000000.0,0.9844137809377208,0.998,0.95,0.1,10,100,selu,381.9347896575928,302.9372959136963
0,24,5,304,0.003,1032,256,1000000000.0,0.9732051918965088,0.998,0.95,0.1,10,100,selu,45.25538671016693,102.82907700538635
0,25,9,227,3e-06,1032,256,1000000000.0,0.9854425220037268,0.998,0.95,0.1,10,100,selu,883.689079284668,123.70979118347168
0,26,8,227,0.0003,1032,256,1000000000.0,0.9663233941198732,0.998,0.95,0.1,10,100,selu,59.03267192840576,145.07041335105896
