,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,sample_value,beta,alpha,alpha_decay,lr_decay,alpha_limit,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,9,209,3e-05,1032,512,2.751155289581957,1000000000.0,0.9873708550714213,0.998,0.95,0.1,10,100,selu,33.796784579753876,121.8505642414093
0,1,5,229,3e-06,1032,512,2.8513761864767933,1000000000.0,0.9749419020893048,0.998,0.95,0.1,10,100,selu,905.0666084289551,28.922903060913086
0,2,8,134,3e-06,1032,512,2.3527213691731097,1000000000.0,0.9821717812943647,0.998,0.95,0.1,10,100,selu,887.6343154907227,36.48801636695862
0,3,6,540,3e-05,1032,512,2.478911834356159,1000000000.0,0.981150406818497,0.998,0.95,0.1,10,100,selu,45.835010290145874,195.12345600128174
0,4,9,399,3e-06,1032,512,1.366922396133373,1000000000.0,0.9953674900680307,0.998,0.95,0.1,10,100,selu,837.9535636901855,208.3033103942871
0,5,5,575,3e-06,1032,512,2.5639981590918532,1000000000.0,0.961621904643817,0.998,0.95,0.1,10,100,selu,875.0850372314453,53.86188340187073
0,6,8,227,0.003,1032,512,1.4853677744622567,1000000000.0,0.9792306418570413,0.998,0.95,0.1,10,100,selu,52.95965224504471,31.216004014015198
0,7,7,330,3e-06,1032,512,2.2851842547484518,1000000000.0,0.9751790320560338,0.998,0.95,0.1,10,100,selu,833.5880088806152,85.66951274871826
0,8,6,129,3e-05,1032,512,1.0941641108559461,1000000000.0,0.9935558261367309,0.998,0.95,0.1,10,100,selu,643.6153793334961,105.12932825088501
0,9,9,288,0.003,1032,512,1.2741592802038484,1000000000.0,0.9676227796049515,0.998,0.95,0.1,10,100,selu,53.4765008687973,44.61075574159622
0,10,8,235,0.0003,1032,512,1.9866588626950923,1000000000.0,0.9579219805962169,0.998,0.95,0.1,10,100,selu,50.32394075393677,19.183208644390106
0,11,5,659,3e-06,1032,512,2.2107226106421094,1000000000.0,0.9944538565068177,0.998,0.95,0.1,10,100,selu,820.0440559387207,111.75303506851196
0,12,8,128,0.003,1032,512,1.24141101422699,1000000000.0,0.9880765397622454,0.998,0.95,0.1,10,100,selu,54.68873953819275,67.75648903846741
0,13,8,303,0.003,1032,512,1.245874354512038,1000000000.0,0.9595427227903451,0.998,0.95,0.1,10,100,selu,60.50697600841522,67.80006504058838
0,14,5,501,3e-05,1032,512,1.468779469030939,1000000000.0,0.9687070592438836,0.998,0.95,0.1,10,100,selu,343.5702667236328,183.2913007736206
0,15,5,274,3e-06,1032,512,1.8321861943219393,1000000000.0,0.9749798878937876,0.998,0.95,0.1,10,100,selu,903.3221244812012,49.30429983139038
0,16,6,695,0.0003,1032,512,2.4118994199774857,1000000000.0,0.9847768785360678,0.998,0.95,0.1,10,100,selu,44.86550414562225,12.530416935682297
0,17,8,259,0.003,1032,512,1.7636674351611519,1000000000.0,0.9819765154395238,0.998,0.95,0.1,10,100,selu,59.682333528995514,18.34339475631714
0,18,9,512,0.003,1032,512,1.4537723436682888,1000000000.0,0.9871844730529525,0.998,0.95,0.1,10,100,selu,57.13201719522476,36.00016838312149
0,19,5,275,0.0003,1032,512,2.33023304127416,1000000000.0,0.9813062711616435,0.998,0.95,0.1,10,100,selu,48.44957381486893,95.89102363586426
0,20,7,415,3e-05,1032,512,1.6246055692758006,1000000000.0,0.9859051443268483,0.998,0.95,0.1,10,100,selu,93.9740161895752,437.01951599121094
0,21,7,368,3e-06,1032,512,1.1632714661923127,1000000000.0,0.9518520509325635,0.998,0.95,0.1,10,100,selu,892.7660446166992,70.63830137252808
0,22,5,602,3e-05,1032,512,2.724439045450268,1000000000.0,0.9975592915873731,0.998,0.95,0.1,10,100,selu,40.29242753982544,161.74436378479004
0,23,6,344,3e-06,1032,512,1.201489318226971,1000000000.0,0.991784383855019,0.998,0.95,0.1,10,100,selu,882.4772720336914,128.3353886604309
0,24,9,548,3e-05,1032,512,1.5508230761378035,1000000000.0,0.9870907258554785,0.998,0.95,0.1,10,100,selu,42.17722296714783,640.3937129974365
0,25,8,328,3e-06,1032,512,2.062917244772319,1000000000.0,0.9735785138750632,0.998,0.95,0.1,10,100,selu,807.283332824707,101.20226192474365
0,26,9,488,0.0003,1032,512,1.6020884834348255,1000000000.0,0.9559588331677815,0.998,0.95,0.1,10,100,selu,42.35569214820862,30.764277517795563
0,27,9,556,3e-06,1032,512,1.4688996986562068,1000000000.0,0.9678388722664006,0.998,0.95,0.1,10,100,selu,819.5487594604492,116.74906206130981
0,28,8,537,3e-06,1032,512,1.1655453570127428,1000000000.0,0.9748655309546052,0.998,0.95,0.1,10,100,selu,854.962776184082,146.2013645172119
0,29,6,207,0.003,1032,512,2.9587672723010616,1000000000.0,0.960513494254815,0.998,0.95,0.1,10,100,selu,27.919828236103058,2.0787105970084667
0,30,9,577,3e-06,1032,512,1.0473769429798685,1000000000.0,0.9670680305459862,0.998,0.95,0.1,10,100,selu,813.282169342041,116.56964111328125
